rcaoagda :0           :0               Mon Feb  1 23:08 - down   (01:29)
reboot   system boot  5.8.0-41-generic Mon Feb  1 23:07 - 00:38  (01:30)
rcaoagda :0           :0               Mon Feb  1 22:37 - down   (00:29)
reboot   system boot  5.8.0-41-generic Mon Feb  1 22:35 - 23:07  (00:31)
rcaoagda :0           :0               Mon Feb  1 22:16 - down   (00:19)
reboot   system boot  5.8.0-41-generic Mon Feb  1 22:16 - 22:35  (00:19)
rcaoagda :0           :0               Mon Feb  1 21:32 - down   (00:43)
reboot   system boot  5.8.0-41-generic Mon Feb  1 21:30 - 22:16  (00:45)
rcaoagda :0           :0               Mon Feb  1 17:58 - down   (03:31)
reboot   system boot  5.8.0-41-generic Mon Feb  1 17:58 - 21:30  (03:32)
rcaoagda :0           :0               Sat Jan 30 08:51 - down   (07:17)
reboot   system boot  5.8.0-41-generic Sat Jan 30 08:50 - 16:08  (07:17)
rcaoagda :0           :0               Thu Jan 28 22:16 - down   (01:26)
reboot   system boot  5.8.0-41-generic Thu Jan 28 22:16 - 23:43  (01:27)

wtmp begins Thu Jan 28 22:16:17 2021
